ID,CONDITION,TIME,NAME,DV,YTYPE,COV,ADM,AMT,TINF
1,delta_ARR_STIM_0_1,0,STIMULUS,,0,1,1,0.2,0.1
1,delta_ARR_STIM_0_1,0,Ract,0,1,1,0,,
1,delta_ARR_STIM_0_1,0.2,Ract,0.080568,1,1,0,,
1,delta_ARR_STIM_0_1,0.4,Ract,0.081277,1,1,0,,
1,delta_ARR_STIM_0_1,0.6,Ract,0.081886,1,1,0,,
1,delta_ARR_STIM_0_1,0.8,Ract,0.082385,1,1,0,,
1,delta_ARR_STIM_0_1,1,Ract,0.082779,1,1,0,,
1,delta_ARR_STIM_0_1,1.5,Ract,0.083402,1,1,0,,
1,delta_ARR_STIM_0_1,2,Ract,0.083696,1,1,0,,
1,delta_ARR_STIM_0_1,2.5,Ract,0.083825,1,1,0,,
1,delta_ARR_STIM_0_1,3,Ract,0.083879,1,1,0,,
1,delta_ARR_STIM_0_1,3.5,Ract,0.083901,1,1,0,,
1,delta_ARR_STIM_0_1,4,Ract,0.08391,1,1,0,,
1,delta_ARR_STIM_0_1,5,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,6,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,7,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,8,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,9,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,10,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,12,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,14,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,16,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,18,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,20,Ract,0.083915,1,1,0,,
1,delta_ARR_STIM_0_1,0,GactPDEact,0,2,1,0,,
1,delta_ARR_STIM_0_1,0.2,GactPDEact,30.163899,2,1,0,,
1,delta_ARR_STIM_0_1,0.4,GactPDEact,59.373077,2,1,0,,
1,delta_ARR_STIM_0_1,0.6,GactPDEact,78.75183,2,1,0,,
1,delta_ARR_STIM_0_1,0.8,GactPDEact,91.576163,2,1,0,,
1,delta_ARR_STIM_0_1,1,GactPDEact,100.04045,2,1,0,,
1,delta_ARR_STIM_0_1,1.5,GactPDEact,110.589678,2,1,0,,
1,delta_ARR_STIM_0_1,2,GactPDEact,114.230353,2,1,0,,
1,delta_ARR_STIM_0_1,2.5,GactPDEact,115.458978,2,1,0,,
1,delta_ARR_STIM_0_1,3,GactPDEact,115.862723,2,1,0,,
1,delta_ARR_STIM_0_1,3.5,GactPDEact,115.991178,2,1,0,,
1,delta_ARR_STIM_0_1,4,GactPDEact,116.030181,2,1,0,,
1,delta_ARR_STIM_0_1,5,GactPDEact,116.044151,2,1,0,,
1,delta_ARR_STIM_0_1,6,GactPDEact,116.044678,2,1,0,,
1,delta_ARR_STIM_0_1,7,GactPDEact,116.04455,2,1,0,,
1,delta_ARR_STIM_0_1,8,GactPDEact,116.04455,2,1,0,,
1,delta_ARR_STIM_0_1,9,GactPDEact,116.044543,2,1,0,,
1,delta_ARR_STIM_0_1,10,GactPDEact,116.044545,2,1,0,,
1,delta_ARR_STIM_0_1,12,GactPDEact,116.044538,2,1,0,,
1,delta_ARR_STIM_0_1,14,GactPDEact,116.044551,2,1,0,,
1,delta_ARR_STIM_0_1,16,GactPDEact,116.044574,2,1,0,,
1,delta_ARR_STIM_0_1,18,GactPDEact,116.044554,2,1,0,,
1,delta_ARR_STIM_0_1,20,GactPDEact,116.044538,2,1,0,,
2,delta_PDE_STIM_0_5,0,STIMULUS,,0,2,1,1,0.5
2,delta_PDE_STIM_0_5,0.2,Ract,0.158551,1,2,0,,
2,delta_PDE_STIM_0_5,0.4,Ract,0.319318,1,2,0,,
2,delta_PDE_STIM_0_5,0.6,Ract,0.403721,1,2,0,,
2,delta_PDE_STIM_0_5,0.8,Ract,0.40407,1,2,0,,
2,delta_PDE_STIM_0_5,1,Ract,0.402953,1,2,0,,
2,delta_PDE_STIM_0_5,1.5,Ract,0.393414,1,2,0,,
2,delta_PDE_STIM_0_5,2,Ract,0.37455,1,2,0,,
2,delta_PDE_STIM_0_5,2.5,Ract,0.347982,1,2,0,,
2,delta_PDE_STIM_0_5,3,Ract,0.316198,1,2,0,,
2,delta_PDE_STIM_0_5,3.5,Ract,0.281876,1,2,0,,
2,delta_PDE_STIM_0_5,4,Ract,0.247338,1,2,0,,
2,delta_PDE_STIM_0_5,5,Ract,0.183818,1,2,0,,
2,delta_PDE_STIM_0_5,6,Ract,0.132424,1,2,0,,
2,delta_PDE_STIM_0_5,7,Ract,0.093767,1,2,0,,
2,delta_PDE_STIM_0_5,8,Ract,0.065858,1,2,0,,
2,delta_PDE_STIM_0_5,9,Ract,0.04616,1,2,0,,
2,delta_PDE_STIM_0_5,10,Ract,0.032414,1,2,0,,
2,delta_PDE_STIM_0_5,12,Ract,0.016219,1,2,0,,
2,delta_PDE_STIM_0_5,14,Ract,0.008333,1,2,0,,
2,delta_PDE_STIM_0_5,16,Ract,0.004405,1,2,0,,
2,delta_PDE_STIM_0_5,18,Ract,0.002393,1,2,0,,
2,delta_PDE_STIM_0_5,20,Ract,0.001333,1,2,0,,
3,WT_STIM_0_1,0,STIMULUS,,0,3,1,0.2,0.1
3,WT_STIM_0_1,0.2,Ract,0.078169,1,3,0,,
3,WT_STIM_0_1,0.4,Ract,0.075701,1,3,0,,
3,WT_STIM_0_1,0.6,Ract,0.073177,1,3,0,,
3,WT_STIM_0_1,0.8,Ract,0.070606,1,3,0,,
3,WT_STIM_0_1,1,Ract,0.068016,1,3,0,,
3,WT_STIM_0_1,1.2,Ract,0.065434,1,3,0,,
3,WT_STIM_0_1,1.4,Ract,0.062886,1,3,0,,
3,WT_STIM_0_1,1.6,Ract,0.06039,1,3,0,,
3,WT_STIM_0_1,1.8,Ract,0.057961,1,3,0,,
3,WT_STIM_0_1,2,Ract,0.055609,1,3,0,,
3,WT_STIM_0_1,2.1,Ract,0.054463,1,3,0,,
3,WT_STIM_0_1,2.6,Ract,0.049053,1,3,0,,
3,WT_STIM_0_1,3.1,Ract,0.04417,1,3,0,,
3,WT_STIM_0_1,3.6,Ract,0.039782,1,3,0,,
3,WT_STIM_0_1,4.1,Ract,0.035844,1,3,0,,
3,WT_STIM_0_1,5,Ract,0.029741,1,3,0,,
3,WT_STIM_0_1,6,Ract,0.024204,1,3,0,,
3,WT_STIM_0_1,7,Ract,0.019721,1,3,0,,
3,WT_STIM_0_1,8,Ract,0.016083,1,3,0,,
3,WT_STIM_0_1,9,Ract,0.013126,1,3,0,,
3,WT_STIM_0_1,10,Ract,0.010719,1,3,0,,
3,WT_STIM_0_1,12,Ract,0.007158,1,3,0,,
3,WT_STIM_0_1,14,Ract,0.004786,1,3,0,,
3,WT_STIM_0_1,16,Ract,0.003203,1,3,0,,
3,WT_STIM_0_1,18,Ract,0.002145,1,3,0,,
3,WT_STIM_0_1,20,Ract,0.001436,1,3,0,,
3,WT_STIM_0_1,0,GactPDEact,0,2,3,0,,
3,WT_STIM_0_1,0.2,GactPDEact,29.690514,2,3,0,,
3,WT_STIM_0_1,0.4,GactPDEact,57.135898,2,3,0,,
3,WT_STIM_0_1,0.6,GactPDEact,73.894124,2,3,0,,
3,WT_STIM_0_1,0.8,GactPDEact,83.587951,2,3,0,,
3,WT_STIM_0_1,1,GactPDEact,88.638417,2,3,0,,
3,WT_STIM_0_1,1.2,GactPDEact,90.659563,2,3,0,,
3,WT_STIM_0_1,1.4,GactPDEact,90.724893,2,3,0,,
3,WT_STIM_0_1,1.6,GactPDEact,89.546498,2,3,0,,
3,WT_STIM_0_1,1.8,GactPDEact,87.595251,2,3,0,,
3,WT_STIM_0_1,2,GactPDEact,85.181087,2,3,0,,
3,WT_STIM_0_1,2.1,GactPDEact,83.866831,2,3,0,,
3,WT_STIM_0_1,2.6,GactPDEact,76.861401,2,3,0,,
3,WT_STIM_0_1,3.1,GactPDEact,69.877488,2,3,0,,
3,WT_STIM_0_1,3.6,GactPDEact,63.338989,2,3,0,,
3,WT_STIM_0_1,4.1,GactPDEact,57.349992,2,3,0,,
3,WT_STIM_0_1,5,GactPDEact,47.923528,2,3,0,,
3,WT_STIM_0_1,6,GactPDEact,39.247265,2,3,0,,
3,WT_STIM_0_1,7,GactPDEact,32.14165,2,3,0,,
3,WT_STIM_0_1,8,GactPDEact,26.322403,2,3,0,,
3,WT_STIM_0_1,9,GactPDEact,21.556338,2,3,0,,
3,WT_STIM_0_1,10,GactPDEact,17.652779,2,3,0,,
3,WT_STIM_0_1,12,GactPDEact,11.83728,2,3,0,,
3,WT_STIM_0_1,14,GactPDEact,7.936832,2,3,0,,
3,WT_STIM_0_1,16,GactPDEact,5.321199,2,3,0,,
3,WT_STIM_0_1,18,GactPDEact,3.567371,2,3,0,,
3,WT_STIM_0_1,20,GactPDEact,2.39149,2,3,0,,
4,WT_STIM_2,0,STIMULUS,,0,4,1,4,2
4,WT_STIM_2,0.2,Ract,0.158533,1,4,0,,
4,WT_STIM_2,0.4,Ract,0.318872,1,4,0,,
4,WT_STIM_2,0.6,Ract,0.487998,1,4,0,,
4,WT_STIM_2,0.8,Ract,0.671166,1,4,0,,
4,WT_STIM_2,1,Ract,0.873898,1,4,0,,
4,WT_STIM_2,1.2,Ract,1.102057,1,4,0,,
4,WT_STIM_2,1.4,Ract,1.359999,1,4,0,,
4,WT_STIM_2,1.6,Ract,1.648097,1,4,0,,
4,WT_STIM_2,1.8,Ract,1.959835,1,4,0,,
4,WT_STIM_2,2,Ract,2.28047,1,4,0,,
4,WT_STIM_2,2.1,Ract,2.283823,1,4,0,,
4,WT_STIM_2,2.6,Ract,2.111585,1,4,0,,
4,WT_STIM_2,3.1,Ract,1.815578,1,4,0,,
4,WT_STIM_2,3.6,Ract,1.526325,1,4,0,,
4,WT_STIM_2,4.1,Ract,1.27414,1,4,0,,
4,WT_STIM_2,5,Ract,0.914712,1,4,0,,
4,WT_STIM_2,6,Ract,0.630179,1,4,0,,
4,WT_STIM_2,7,Ract,0.434212,1,4,0,,
4,WT_STIM_2,8,Ract,0.300965,1,4,0,,
4,WT_STIM_2,9,Ract,0.211033,1,4,0,,
4,WT_STIM_2,10,Ract,0.150341,1,4,0,,
4,WT_STIM_2,10.2,Ract,0.140788,1,4,0,,
4,WT_STIM_2,10.4,Ract,0.131943,1,4,0,,
4,WT_STIM_2,10.6,Ract,0.123749,1,4,0,,
4,WT_STIM_2,10.8,Ract,0.116155,1,4,0,,
4,WT_STIM_2,11,Ract,0.109115,1,4,0,,
4,WT_STIM_2,11.2,Ract,0.102587,1,4,0,,
4,WT_STIM_2,11.4,Ract,0.096536,1,4,0,,
4,WT_STIM_2,11.6,Ract,0.090955,1,4,0,,
4,WT_STIM_2,11.8,Ract,0.085872,1,4,0,,
4,WT_STIM_2,12,Ract,0.081284,1,4,0,,
4,WT_STIM_2,12.5,Ract,0.071611,1,4,0,,
4,WT_STIM_2,13,Ract,0.06377,1,4,0,,
4,WT_STIM_2,13.5,Ract,0.057123,1,4,0,,
4,WT_STIM_2,14,Ract,0.051324,1,4,0,,
4,WT_STIM_2,14.5,Ract,0.046186,1,4,0,,
4,WT_STIM_2,15,Ract,0.0416,1,4,0,,
4,WT_STIM_2,16,Ract,0.033801,1,4,0,,
4,WT_STIM_2,17,Ract,0.027503,1,4,0,,
4,WT_STIM_2,18,Ract,0.022404,1,4,0,,
4,WT_STIM_2,19,Ract,0.018266,1,4,0,,
4,WT_STIM_2,20,Ract,0.014903,1,4,0,,
4,WT_STIM_2,0,GactPDEact,0,2,4,0,,
4,WT_STIM_2,0.2,GactPDEact,39.925324,2,4,0,,
4,WT_STIM_2,0.4,GactPDEact,139.170426,2,4,0,,
4,WT_STIM_2,0.6,GactPDEact,258.680393,2,4,0,,
4,WT_STIM_2,0.8,GactPDEact,296.176301,2,4,0,,
4,WT_STIM_2,1,GactPDEact,298.430179,2,4,0,,
4,WT_STIM_2,1.2,GactPDEact,299.068761,2,4,0,,
4,WT_STIM_2,1.4,GactPDEact,299.350844,2,4,0,,
4,WT_STIM_2,1.6,GactPDEact,299.500501,2,4,0,,
4,WT_STIM_2,1.8,GactPDEact,299.587584,2,4,0,,
4,WT_STIM_2,2,GactPDEact,299.64055,2,4,0,,
4,WT_STIM_2,2.1,GactPDEact,299.657971,2,4,0,,
4,WT_STIM_2,2.6,GactPDEact,299.69337,2,4,0,,
4,WT_STIM_2,3.1,GactPDEact,299.697627,2,4,0,,
4,WT_STIM_2,3.6,GactPDEact,299.69309,2,4,0,,
4,WT_STIM_2,4.1,GactPDEact,299.684688,2,4,0,,
4,WT_STIM_2,5,GactPDEact,299.66244,2,4,0,,
4,WT_STIM_2,6,GactPDEact,299.624725,2,4,0,,
4,WT_STIM_2,7,GactPDEact,299.565043,2,4,0,,
4,WT_STIM_2,8,GactPDEact,299.464464,2,4,0,,
4,WT_STIM_2,9,GactPDEact,299.272968,2,4,0,,
4,WT_STIM_2,10,GactPDEact,298.800598,2,4,0,,
4,WT_STIM_2,10.2,GactPDEact,298.612329,2,4,0,,
4,WT_STIM_2,10.4,GactPDEact,298.350633,2,4,0,,
4,WT_STIM_2,10.6,GactPDEact,297.963524,2,4,0,,
4,WT_STIM_2,10.8,GactPDEact,297.335818,2,4,0,,
4,WT_STIM_2,11,GactPDEact,296.158431,2,4,0,,
4,WT_STIM_2,11.2,GactPDEact,293.299536,2,4,0,,
4,WT_STIM_2,11.4,GactPDEact,282.314592,2,4,0,,
4,WT_STIM_2,11.6,GactPDEact,243.032505,2,4,0,,
4,WT_STIM_2,11.8,GactPDEact,200.902054,2,4,0,,
4,WT_STIM_2,12,GactPDEact,170.368717,2,4,0,,
4,WT_STIM_2,12.5,GactPDEact,126.272261,2,4,0,,
4,WT_STIM_2,13,GactPDEact,104.403527,2,4,0,,
4,WT_STIM_2,13.5,GactPDEact,91.080447,2,4,0,,
4,WT_STIM_2,14,GactPDEact,81.293177,2,4,0,,
4,WT_STIM_2,14.5,GactPDEact,73.216613,2,4,0,,
4,WT_STIM_2,15,GactPDEact,66.168145,2,4,0,,
4,WT_STIM_2,16,GactPDEact,54.19559,2,4,0,,
4,WT_STIM_2,17,GactPDEact,44.414553,2,4,0,,
4,WT_STIM_2,18,GactPDEact,36.393207,2,4,0,,
4,WT_STIM_2,19,GactPDEact,29.814894,2,4,0,,
4,WT_STIM_2,20,GactPDEact,24.422093,2,4,0,,
5,WT_STIM_2,0,STIMULUS,,0,5,1,4,2
5,WT_STIM_2,0.2,Ract,0.15,1,5,0,,
5,WT_STIM_2,0.4,Ract,0.3,1,5,0,,
5,WT_STIM_2,0.6,Ract,0.5,1,5,0,,
5,WT_STIM_2,0.8,Ract,0.65,1,5,0,,
5,WT_STIM_2,1,Ract,0.8,1,5,0,,
5,WT_STIM_2,1.2,Ract,1.15,1,5,0,,
5,WT_STIM_2,1.4,Ract,1.8,1,5,0,,
5,WT_STIM_2,1.6,Ract,1.7,1,5,0,,
5,WT_STIM_2,1.8,Ract,1.7,1,5,0,,
5,WT_STIM_2,2,Ract,2.5,1,5,0,,
5,WT_STIM_2,2.1,Ract,2,1,5,0,,
5,WT_STIM_2,2.6,Ract,1.8,1,5,0,,
5,WT_STIM_2,3.1,Ract,1.7,1,5,0,,
5,WT_STIM_2,3.6,Ract,1.4,1,5,0,,
5,WT_STIM_2,4.1,Ract,1,1,5,0,,
5,WT_STIM_2,5,Ract,0.6,1,5,0,,
